Info 2019-04-02 15:08:22 /Users/hhq163/Documents/go/src/rpcserver/main.go:21  [rpcserver starting up]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

Info 2019-04-02 15:08:42 /Users/hhq163/Documents/go/src/rpcserver/User.go:46  [UserId: 15449677 ,AgentId: 2 ,HallId: 1 ,UserName: testname1 , Amount: 235 Type: RECHARGE]

